mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03193216323852539,0.02546126376619131,0.06813440322875977,0.0027249615354446584,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.9714285714285714,0.9387755102040817,0.9673469387755103,0.9455782312925171,0.9551020408163265,0.9556462585034013,0.012427958907939293,2,0.9857142857142858,0.9850340136054422,0.9853741496598639,0.9874149659863946,0.9938775510204082,0.9874829931972788,0.0033005467947505433
0.015904951095581054,0.00032817932113480777,0.06794295310974122,0.0018322297053884806,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.9714285714285714,0.9401360544217687,0.9673469387755103,0.9455782312925171,0.9551020408163265,0.9559183673469388,0.012065196885657332,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.016252946853637696,0.0008340616395601695,0.06901702880859376,0.00352397992119293,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.963265306122449,0.9374149659863945,0.9619047619047619,0.9346938775510204,0.9510204081632653,0.9496598639455783,0.011923212136166898,4,0.9734693877551021,0.9768707482993197,0.9731292517006803,0.9768707482993197,0.9836734693877551,0.9768027210884354,0.003790037626444656
0.015970754623413085,0.00045117351716464414,0.06785063743591309,0.00021601914800323198,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.964625850340136,0.9387755102040817,0.9673469387755103,0.9360544217687075,0.9523809523809523,0.9518367346938776,0.012838232502950155,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015870428085327147,0.0002181593628252456,0.07086796760559082,0.0028562949707919695,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",0.9700680272108844,0.927891156462585,0.9523809523809523,0.9224489795918367,0.9455782312925171,0.9436734693877552,0.017179531012424063,6,0.9564625850340136,0.9659863945578231,0.9574829931972789,0.9639455782312926,0.9670068027210884,0.9621768707482993,0.004373890450524756
0.016178369522094727,0.0006260446060412164,0.07605233192443847,0.006348887714384383,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",0.9659863945578231,0.9319727891156463,0.9564625850340136,0.926530612244898,0.9482993197278912,0.9458503401360543,0.014764255745578795,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.016450166702270508,0.0007644637943250454,0.07110233306884765,0.0007909561770210764,30,uniform,"{'n_neighbors': 30, 'weights': 'uniform'}",0.9551020408163265,0.9306122448979591,0.9197278911564626,0.9129251700680272,0.9374149659863945,0.9311564625850342,0.014668660649734485,8,0.941156462585034,0.9578231292517007,0.9459183673469388,0.9482993197278912,0.9537414965986395,0.9493877551020408,0.005849549068491323
0.016503429412841795,0.001520749228566401,0.07234106063842774,0.00042791015882013574,30,distance,"{'n_neighbors': 30, 'weights': 'distance'}",0.9551020408163265,0.9306122448979591,0.9401360544217687,0.9129251700680272,0.9387755102040817,0.9355102040816327,0.013783864100042398,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015767908096313475,0.00020626129097739917,0.07428545951843261,0.0005656095643392342,50,uniform,"{'n_neighbors': 50, 'weights': 'uniform'}",0.9496598639455782,0.927891156462585,0.9170068027210885,0.9115646258503401,0.9292517006802721,0.9270748299319728,0.013095193921650015,10,0.932312925170068,0.9401360544217687,0.9333333333333333,0.9459183673469388,0.9414965986394558,0.9386394557823129,0.005129630618097651
0.015631389617919923,0.00012450494876389408,0.0767552375793457,0.003279938613903474,50,distance,"{'n_neighbors': 50, 'weights': 'distance'}",0.9510204081632653,0.9292517006802721,0.9197278911564626,0.9142857142857143,0.9292517006802721,0.9287074829931973,0.012546548988733058,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
